epochs,train loss,train acc,val loss,val acc,time(s)
0,0.0993712064699755,0.0048392479697407,0.0955541638036569,0.0088541666666666,277.94517159461975
1,0.0909750045294066,0.0179942151518522,0.0815448588381211,0.0440104166666666,260.1838083267212
2,0.0746258316282462,0.0700300367115363,0.059818322584033,0.15625,262.9620158672333
3,0.055372493002356,0.1956836133051507,0.0424619421052436,0.3354166666666666,265.0796582698822
4,0.0395953784279118,0.3659472688841917,0.0303096893398712,0.48984375,264.67218947410583
5,0.0289773305540077,0.5130715318722884,0.0216881649801507,0.6276041666666666,265.6321859359741
6,0.02189132056667,0.6195071754366448,0.0180991028745969,0.6815104166666667,264.62851214408875
7,0.0173655717666508,0.6939592835688063,0.0152750030548001,0.72890625,263.8976593017578
8,0.0141912829936949,0.7487484703526532,0.0132903194443012,0.7625,264.1171987056732
9,0.011768013730418,0.7878796306596951,0.0118574715374658,0.7875,264.2811076641083
10,0.0099938796726027,0.8190566247636,0.011252954788506,0.7963541666666667,263.98101806640625
11,0.0083866560849693,0.8487595950606297,0.0106220755881319,0.8114583333333333,264.21766996383667
12,0.007232398940616,0.8688396929580599,0.0103653140754128,0.8166666666666667,264.48201537132263
13,0.0062388745751466,0.8854711313828012,0.0096075083129107,0.8283854166666667,264.83869981765747
14,0.005362036245188,0.9032428523751252,0.0092438032850623,0.8302083333333333,263.6584119796753
15,0.0046699934483937,0.9176493492045834,0.0087589320493862,0.8450520833333334,273.2815489768982
16,0.0040806586472782,0.9267716097452442,0.0089091723513168,0.8419270833333333,269.03651332855225
17,0.0035790532913578,0.938814106129714,0.0082871539867483,0.8520833333333333,267.4712121486664
18,0.0030101935182043,0.9489654021581934,0.0083470673765987,0.8520833333333333,267.87683486938477
19,0.0025645869025965,0.9573645566803872,0.007871285546571,0.8596354166666667,267.6155996322632
20,0.0023420156843878,0.9613416397819556,0.0082034691159303,0.8567708333333334,267.25222659111023
21,0.002029009518855,0.9681555234175104,0.0078001063355865,0.8661458333333333,267.47680163383484
22,0.0017014961281084,0.9748025364334186,0.0079213970496008,0.8625,267.7031252384186
23,0.0015569938983304,0.9763599955501168,0.0080130078829824,0.8588541666666667,267.5612962245941
24,0.0013102146572365,0.9814495494493268,0.0080523666110821,0.8614583333333333,267.6961557865143
25,0.0012065157953109,0.9830348203359662,0.0075300591338115,0.86796875,267.80893993377686
26,0.0011077834118565,0.985120703081544,0.0077726910705678,0.8625,267.29076957702637
27,0.0010233916453273,0.9855378796306596,0.007402824552264,0.8721354166666667,267.17202043533325
28,0.0008738918699225,0.9882078095449994,0.0073646013081694,0.875,267.08817315101624
29,0.0007748626957002,0.9898487039715208,0.0075274965376593,0.871875,267.1785786151886
30,0.0007109123013326,0.9908499276893982,0.0076280721870716,0.87734375,266.101211309433
31,0.0006396797225751,0.9920180220269218,0.0074030725479436,0.87578125,266.12944054603577
32,0.0005689410705741,0.9932139281343864,0.0074043365350613,0.875,266.1556136608124
33,0.0005563871470022,0.9926576927355656,0.0075918691698461,0.8783854166666667,265.6696410179138
34,0.0005208869252793,0.9932417399043276,0.007325031751922,0.8778645833333333,266.0193729400635
35,0.0004573095173143,0.9944932695516744,0.007256060896907,0.8815104166666666,265.47845244407654
36,0.0004043684106525,0.995077316720436,0.0073587539295355,0.8765625,266.0020306110382
37,0.0003771027228142,0.9955779285793748,0.0073277377562286,0.8765625,265.27400612831116
38,0.0003691537808387,0.9953832461897876,0.0074174659326672,0.8763020833333334,266.1723265647888
39,0.0003441429454226,0.9959951051284904,0.0073471439614271,0.8778645833333333,266.07509112358093
