epochs,train loss,train acc,val loss,val acc,time(s)
0,0.08757086617886417,0.04577817332295027,0.06696367636322975,0.16953125,188.75645089149475
1,0.052545414914914025,0.3024808098787407,0.0335791673976928,0.5572916666666666,159.60850024223328
2,0.029128562821895264,0.5857158749582824,0.0181914531160146,0.7442708333333333,162.13195824623108
3,0.01795286694428642,0.7354822560907777,0.012427085863115887,0.8104166666666667,159.40182280540466
4,0.012523841182890372,0.8147179886527979,0.00894865047497054,0.8651041666666667,163.2313268184662
5,0.009270975970263103,0.857548114361998,0.007519514245601992,0.8802083333333334,160.1981463432312
6,0.00731125696606678,0.8866948492602069,0.006394952023401857,0.8955729166666667,159.87904000282288
7,0.0059009774999678735,0.9077761708755145,0.006092844010951618,0.903125,158.54349493980408
8,0.0048407663695123814,0.924463232840138,0.005669349878250311,0.9041666666666667,161.15416717529297
9,0.004085459275526947,0.9360607409055512,0.0052212502128289396,0.9096354166666667,156.05578923225403
10,0.003460546950907566,0.9450161308265658,0.005069511911521355,0.9169270833333333,159.29061126708984
11,0.002958534308737696,0.9540827678273446,0.004879283107584342,0.9171875,158.43239283561707
12,0.002554168716750211,0.96225942819001,0.004896329182277744,0.9158854166666667,163.85642743110657
13,0.0022090696587260127,0.9656246523528758,0.004920038637161876,0.9138020833333333,159.5232138633728
14,0.0019190125192753537,0.9712148181110246,0.004780939266008015,0.9182291666666667,161.97966146469116
15,0.0017232205839975815,0.9742463010345979,0.004946814401773736,0.9190104166666667,160.29826974868774
16,0.0015177352943246615,0.977945266436756,0.004630369460210204,0.9229166666666667,155.85916209220886
17,0.0013155585780884006,0.9809211258204472,0.004634697205619887,0.9268229166666667,174.1428952217102
18,0.0011987070146243987,0.9827567026365558,0.0045780846713266024,0.9260416666666667,158.00365900993347
19,0.0010297687655385877,0.9856213149404828,0.004578959091062037,0.9255208333333333,161.12381958961487
20,0.0009407676862164651,0.9865391033485371,0.004556770244380459,0.92578125,158.35705971717834
21,0.0009071611537588646,0.9868172210479474,0.004696386134795224,0.9252604166666667,157.8699595928192
22,0.0008332237527926516,0.9880687506952942,0.0045045057326206,0.9247395833333333,159.25992846488953
23,0.00067513409382113,0.9907943041495161,0.0046998670101553825,0.9265625,161.93659090995789
24,0.0006991486874881364,0.9902380687506953,0.004749496031824189,0.9244791666666666,157.9460883140564
25,0.0006020523648189366,0.9922127044165091,0.004498195322230458,0.9291666666666667,160.5504186153412
26,0.0005731398783486789,0.9919902102569808,0.004449801194520357,0.9299479166666667,160.03975629806519
27,0.0005383859963807659,0.9923239514962732,0.004604262917807015,0.928125,159.13105511665344
28,0.0005165543683184692,0.9921014573367449,0.0046486063530513395,0.9268229166666667,160.57138347625732
29,0.00046945301576172823,0.9932973634442096,0.004620257829083129,0.9265625,160.82014656066895
30,0.0004450590066109895,0.9934642340638559,0.004562437474184359,0.9270833333333334,157.60210514068604
31,0.0003847011929343309,0.9952441873400824,0.0046252178687912725,0.9270833333333334,167.21429538726807
32,0.000365395255668951,0.9949382578707309,0.004443805321352556,0.9328125,162.64103412628174
33,0.00036839605587512744,0.9945767048614974,0.004599545519643773,0.9283854166666666,155.35824632644653
34,0.00037561971024412317,0.9943820224719101,0.004705755793838762,0.928125,151.12810349464417
35,0.00033053304432922496,0.9954110579597285,0.00451823760328504,0.9325520833333333,154.32485151290894
36,0.00033128505274236935,0.995049504950495,0.0046375766352866775,0.9286458333333333,158.33719444274902
37,0.0002802345502361865,0.9958838580487263,0.004620331847885003,0.9296875,158.3392789363861
38,0.000284148174591258,0.9958838580487263,0.004731304604986993,0.9283854166666666,157.20372033119202
39,0.00025567600023423525,0.9963288463677828,0.004665302757833463,0.9265625,296.3347101211548
